observed,location_details,county,state,season,title,latitude,longitude,date,number,classification,geohash,temperature_high,temperature_mid,temperature_low,dew_point,humidity,cloud_cover,moon_phase,precip_intensity,precip_probability,precip_type,pressure,summary,uv_index,visibility,wind_bearing,wind_speed,year
"I only wanted to tell you that I saw a big foot in the 1990's possibly early 2000. I don't remember the date. I didn't document anything. Early one beautiful spring morning after my husband left for work, as i do many times is I looked through the mini blinds outside toward the barn behind the house. I was just gazing out the window wind I saw what looked like a bigfoot walk out of the tall weeds upon the hill. He (or she) but my senses tells me it was a he. He sensed me looking at him immediately. He waived his hand as if he was saying forget about you.. he continued to walk behind the barn on his merry way. I never looked at him anymore. I could tell immediately he didn't want me looking at him. I never pursued it any further. I've never seen another one since this. My husband thought I was nuts and ignored me. I didn't talk to anyone about it for years, but now that the monsters, finding bigfoot shows are on, my husband now believes they really exist. The one I saw was as shiney black as could be, looked very clean and neat as if his hair had been combed. His hair was all over his body but his face was a bit different than some of these on tv. He was more black like leather around his eyes and mouth. His hair neatly laid around his face. My guess he was approximately 8 or 9 ft tall. He looked more muscled not rugged at all. I live by a bottom which many of us that has lived here all our lives have known of some wild species seen down there. I've been told including devil worshipers. A friend and a buddy of his took the dogs to hunt down in the bottom one night and they smelled an awful smell and the dogs turned around and ran home fast as they could..so of course they ran home fast as they could. He commented it scared him to death! These boys hunted all the time and I believe this incident stopped their hunting altogether. I don't know if anyone else has ever seen bigfoot. It used to be no big deal to go into the woods at night around here but most people dont do that anymore. Only some 4wheelers possibly. Well I also live near Washington County lake in Nashville, IL. I read the story of a man fishing one night and his experience with one of these creatures. I know that area and I wouldn't doubt it, for it is very secluded. Water, woods, and seclusion they seem to like. Thank you for letting me tell you my little story. Not much, but I saw one plain as day and in the daytime.",NA,Washington County,Illinois,Spring,Report 57303: Memory told of a sighting on a farm near Nashville,38.33912,-89.35323000000001,2000-05-18,57303,Class A,dnb6neqvwc,77.57,68.205,58.84,63.41,0.68,0.53,0.52,NA,NA,rain,1008.43,Mostly cloudy throughout the day and breezy in the morning.,7,8.79,196,13.93,2000
"This is a two part report of what may be easily explained,or not.  My first odd experience was in Kickapoo State Park, in Vermilion County Illinois,in Oct.2005. I was fishing at a pond in the park, when I heard two BIG splashes in the river about 50 to 75 yards behind me. My first thought was a deer bounded across the river, then I heard the most awful scream I've ever heard. Almost immediately after the scream, I could hear what sounded like a scuffle in the dry leaves. After the rustling in the leaves stopped, I could hear what sounded like a large cat breathing hard or ""purring"". I don't know how else to explain it. [We don't have large cats in our area.] The purring sound lasted maybe a minute, then I could hear this creature moving away. I'm an old Boy Scout, and have spent alot of time camping in this area, and I know most of the sounds in the night woods. This sound flat out scared me. It bothered me enough that I went home. I got home and my wife asked me why I was home so early. I told her the story, and thought that was the end of the story. Untill.... the following spring, fishing along my favorite stretch of the same river, I run across a tree that had been snapped over (I can take you to it). That may very well be explained by spring flood waters, but I find it odd, the direction it is snapped. In early summer (late May,early June) I was driving through the park, and smelled a terrible musky stench.There are alot of deer in this area, but you almost have to be standing next to them to smell them.   I don't think we have enough wooded habitat to harbor these kinds of animals, but it is a large enough area for them to use as a ""highway"". I have not observed any footprints on the soft sandbars. I'm not a jumpy type of person, but I no longer go to my fishin' hole alone.",Vermilion County  - Kickapoo State Park [specific directions edited out per request of witness],Vermilion County,Illinois,Fall,"Report 15844: Possible sounds heard, etc., in Kickapoo State Park",40.1527,-87.7424,2005-10-01,15844,Class B,dp1s7mefmv,81.1,67.935,54.77,45.3,0.58,0,0.94,0,0,NA,1019.51,Clear throughout the day.,6,10,166,4.51,2005
"I was 14 in 2000, and it was a soggy spring day. Overcast, threatening rain. I had been playing with a childhood friend with whom I've since lost contact on my Grandma's 14 acre wooded property. I was standing on a large stack of railroad ties my deceased grandfather had accumulated from his time in U&P employ, and stacked up behind the barn, next to the horse corral. I was standing on top of it, throwing rocks into the swampy ground down the hill, or building a fort or something at the time. My friend was milling around the gate between what would become my aunt's property, a 6 acre parcel of land with an abandoned house on it at the time, the same wooded creek running on the north side of the property that separated my Grandma's land following it's property line. He had been heading through it into the empty property. I remember looking away for a few minutes, before looking back up, and spotted him running full-tilt with a look of panic in his eyes. Instead of climbing over the gate or under the horse corral's fence to get back into my Grandma's yard, he threw himself over the barbed wire fence, cutting his hand pretty badly in the process. I jumped down onto a lower section of the tie pile trying to yell at him and get his attention, to find out why he was running, when I saw it. Standing on the other side of the gate, only sixty feet away or so, was a 7 foot or better figure, covered in dark brown fur. Bulky, but covered in long-ish hair, so you couldn't make out much beyond that. It was standing on the other side of the gate into the empty property, poking at the ground with a stick it had in it's hand. I couldn't see it's face, but when it's head tilted up toward me, the hair stood up on end. I only got a few seconds of looking at it before I backpedalled in panic off the tie pile, fell to the ground, and bolted around the back of the barn and up to my Grandmother's house, where my friend was already yelling and trying to explain to my aunt, her boyfriend and my Grandma what had happened while they bandaged his hand up. We went back down looking for any sign of the thing within 15 minutes, but we never found even so much as a footprint. The ground it had been standing on was grassy, and it didn't appear to leave anything behind, or even drop the stick when it left. We searched along the creek bed for nearly an hour afterward, but found nothing there, either.",NA,Whiteside County,Illinois,Spring,Report 29287: Memory told of a daylight sighting as a youth near Fenton,41.7584,-90.0795,2000-04-07,29287,Class A,9zrvw1yh79,46.67,36.085,25.5,29.91,0.69,0.91,0.1,0.0065,1,rain,1009.65,Mixed precipitation until evening and breezy starting in the evening.,4,6.71,34,14.31,2000
"I believe it was a saturday morning, late summer of 80-81 I don't recall the year exactly, I was 8 or 9 years old been awhile. however the incident is very vivid.... I was in the garage that morning smashing some aluminum cans. When I heard my dog barking rather franticaly. I stood up and went to the back door of the garage, and called out to quiet him down. That is when I observed him turn tail and head into his dog  house. The sound is what struck me first, I comepare it to the sound of a galloping horse...per say or at least something very heavy running paralell to where I was standing. It's like you coould fell the vibrations throught the dry ground. About 6 or 7 rows back in the cornfield I saw a rather large humanoid, roughly 7' or so I compare it to the height of the corn. Very bulky looking, It had redish brown hair and glanced at me for just a moment. It was in dead run, this whole incident lasted all of maybe 20 seconds. It was coming from the east heading roughly west, southwest. I remember the swinging of the arms out in front of itself like it was pushing it's way through the corn. once it reached the ditch line it jump from the field it was in trying to make it to the next field. But fell short roughly a few feet. I don't recall how wide the ditch was. But I could show the location. It never looked back and disappeared into the brush. Of course I was petrified took me a few moments to gain my composure and snap out of it. I ran to tell my mother what I saw but she did not believe me...never played back there again.",First lot on the rightside of Woodside Dr. directly behind house about 60 yards.,Whiteside County,Illinois,Summer,Report 10037: Youth has daylight sighting in corn field near Rock Falls.,41.7798,-89.689,2004-12-22,10037,Class A,dp2jxjf2yz,12.11,7.82,3.53,-2.89,0.58,0.01,0.38,0,0,NA,NA,Clear throughout the day.,2,9.96,319,5.67,2004
"I was playing with my dogs about 200 feet from the campfire right before sunset. I heard a weird sound behind me, pretty far up the mountain. I thought that I just imagined it and kept playing with the dogs. After about 10 minutes I heard it again,  along with a second call farther up the canyon. I thought that I imagined it. Another 5 or 10 minutes went by and I knew the third time that I had heard it. I was a very loud, sharp call very much like what a primate sounds like (from what I have seen on t.v.). I was instantly on edge, as I have camped/hiked in this area many times over about 10-12 years, without any previous incidence of these sounds. I went back to my campfire to start dinner when I heard it again-this time my dogs took notice and were very uneasy as well. After 2-3 more instances, with my 3 dogs cowering at my feet, I decided to respond. Immediately there was a call in reply that sounded agitated,  They proceeded to call back and forth, progressively getting closer to my location, and it was getting dark. I got in the back of my SUV with my dogs to try to relax and think, and then I heard sounds very close in the trees not far from me. The dogs went from terrified to attack mode, barking and jumping at the back & side windows, and I realized the sun roof was open. I panicked, jumped over the seat and started the vehicle and jetted out of there.All of this happened in about an hour or so.","A very popular southern Idaho creek valley, just on the Utah border.",Bear Lake County,Idaho,Summer,Report 28386: Camper and his three dogs hear possible vocalizations and cut camping trip short in Beaver Creek,42.35635,-111.5212,2003-06-21,28386,Class B,9x88yq8xxe,58,47.775,37.55,37.04,0.72,NA,0.75,0,0,NA,NA,Mostly cloudy until afternoon.,7,NA,265,3.5,2003
"It was during the winter of 2000-2001 and a friend and I were trying to pass the long winter in rural north Idaho with a ""snow hike"" to a waterfall.  The closest town is called Clark Fork, population: a couple hundred. There was deep snow on the ground and it was cold, dark, and snowy on that day.  We drove up a dirt road as far as we could until it was chained off.  We parked the car and walked up some snowmobile tracks to where the trail usually is.  I say usually because it was totally covered in deep snow.  Most people would have thought us crazy to be hiking that trail that day but like I said before, it was something to do in N. Idaho in the middle of winter. So we managed thru the deep snow up a slight ravine.  There were no other tracks that a human would make such as footprints, snowmobile, or snowshoe going up this ravine.  Probably about half way up the trail/ravine, we crossed some tracks.  The hair on the back of my neck stood up as I looked down at the tracks.  I knew instantly what I was looking at but I tried to explain it some other way at first.  The friend I was with grew up in Clark Fork and had lived there all his life.  Without mentioning the word bigfoot or sasquatch, I looked at him and said ""Is this what I think it is?"" and he non-chalantly replied something to the effect of ""We see this kind of stuff around here all the time"". I definitely believed in the possibility of the existence of sasquatch at the time but these tracks really sealed the deal in my mind. I know what bear tracks look like in the snow.  Moose, deer and elk also have a certain kind of track.  The tracks that I am reporting were huge.  I could fit my boot covered foot into them and they were definitely bigger than my boot.  What was even more telling was the distance between the tracks.  I would have had to jump from track to track to make it. So to sum it up: the tracks were roughly human foot shaped but very large-too large to be human. They were obviously made by a two legged, upright walking creature. The path of the tracks came across the ravine and up the other side- from ""nowhere"" going into ""nowhere"".  This area is miles and miles of national forest on the Idaho/Montana border.  There is no other rational explanation for tracks of this size and shape to be found where they were, when they were.  Believe it or not, but I know what I saw.","Go from Clark Fork and cross the river on a small one car bridge.  Take the dirt road parallel to the river and turn off on a ""fire road"" to head towards the waterfall.  The locals know it well but it's been years since I wintered there and can't recall the names of the roads and landmarks off the top of my head.",Bonner County,Idaho,Winter,Report 20221: Winter hikers find trail of footprints near Clark Fork,48.25206,-116.0969,2000-12-31,20221,Class B,c2t6w0hbd5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000
"I live in Freeport, Illinois in a trailer pk. I was out bow hunting in my timber I own. I got up in my tree stand about 6:50 a.m. while it was still dark, hoping a deer would come in right at light. I heard something come up under my tree, and it was breathing real hard. I thought it was a big deer at first, it stood at the base of my tree a good 10 minutes and left to my south-east. I could hear it walking away. About 7:10 to 7:15 am it was foggy, not real bad, a light fog, real thin. It was about 50 degrees out and fairly light by now. I have good eyes and looking for deer, when I noticed this big human like figure. It was about 100 yards away from me.  It walked to the east at a fast pace. I think it heard me go to my tree-stand. It knew I was in the tree. It acted like it was scared, I think I was more terrified when I heard its breathing under my tree then when I saw it walking. I tell my friends, and they think I am nuts. I'm not, I know when I see something like that, I did not believe in big-foot until I seen it that morning. I also seen large foot-prints in certain areas but never told anyone. I seen them for about 2 years after my sighting. Thank you.","It was in my 5 acre timber I own west of Illinois Route 73 south of Pearl City, Illinois.",Stephenson County,Illinois,Fall,Report 15347: Deer hunter has early morning sighting from tree stand near Pearl City,42.21,-89.85,2003-10-26,15347,Class A,dp805kj5p6,39.78,37.47,35.16,31.75,0.81,0.81,0.04,0,0,NA,NA,Overcast throughout the day.,2,10,274,6.57,2003
"My sister and I were driving North on Hwy 67 just past Rushville, Illinois. It was about 3 am, we came up on a part of the road that veered left in a wooded area.  I saw an image up ahead in the road so I started to slow down. At first I thought it was a big big bear but I realized it was slimmer with very broad shoulders and black. It was bending down standing on the back legs, it picked something up out of the road with great care, looked right up at us and then took off so fast in the woods on its two back legs standing up caring for whatever it was that it picked up. My lights shined on it, it was not a bear. I've never seen an animal like that before and I have traveled the roads a lot. I've been hesitant to say anything because it just sounds crazy but it still bothers me because I don't know what it was. My sister saw it as well.",North 67 maybe within 10 miles of Rushville. I'm not familiar with the area and have not been back through since.,Schuyler County,Illinois,Winter,Report 40457: Memory told of a close encounter by motorists just north of Rushville,40.25679,-90.59952,2000-01-09,40457,Class A,9zpt42e2y1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000
"It was midsummer of 1990, I was living alone in a mobile home in the woods adjoining Shawnee National Forest. I decided to go for a walk in the woods because I was bored and was thinking about shooting my rifle a bit. Nothing special, just what I normally did as a youth (since I'm not much of a people person I spent a lot of my youth in the woods). I was walking up a field road that passed thru a patch of woods that led to a larger feild on top of a hill a few hundred feet away. As I got halfway up the hill, I was suddenly shocked by a very loud whistle that was quickly followed by a scream that I had heard many times before as a kid. I knew from previous experience that I didn't want to hang around even though I was ""armed to the teeth"". I was 19 going on 20 at the time and I've spent the majority of my youth spending time alone in the woods, hunted almost everything in the area that could be legally hunted, so I know what the normal sounds of the woods are, and no, it wasn't a swine, bear , coon, or any other such creature. The scream I heard instantly filled me with fear even though I had an 8mm Hakim Mauser, 12 ga. shotgun, and a 22 cal. pistol. I always went hunting heavily armed because I have stumbled across sasquatch a few times before and decided that next time I'd be more prepared. I was about halfway up the hill when I heard the scream a few ridges over (1/2-3/4mi away from me). I quickly turned and decided to call it a night, as I was walking down the hill, I heard another scream at the top of the hill I was walking down (either they can run like hell or there were two). Before I got to the bottom of the hill, I then decided that although I had a lot of weapons and ammo, this wasn't anything that I wanted to shoot alone at night with only a maglite taped to my barrel. I figured running for the road would take too long and a more direct route would be better, so I cut across the field and jumped the creek behind my house. I guess I didn't notice till after I had crossed the creek, but it had followed me home (which wasn't far, maybe a few hundred yards). I can tell you that to keep up with a terrified 20yr old running faster than ever before, that thing had to be extremely fast. I stood by the back porch and could hear its heavy breathing and growling. It sounded kinda like a horse that had just run till it was winded, but the breathing wasn't labored. It was breathing in a normal rhythmic tone, not labored. I was terrified because even after firing a few rounds in it's direction I could still ""feel"" it's presence and hear it, so I unloaded in that direction. I fired over 100 shells thru the Hakim, a full box of shells from the 12ga. and every shell I had for my 22 before I ran in the house to grab more ammo and turn some more lights on. I must've shot around 150 or more shells, I figured that I had shot at it enough and wanted to save what ammo I had left in case it decided to try to come in for a visit durring the night, so I went in the house and stayed awake all night. The next day(about noon) I decided to go see what I hit. When I crossed the creek I could plainly see where I had fired because of the holes in the trees and the saplings that were broken from bullets. Found no blood, no footprints(it was dry) but I did find something I didnt expect...it had laid down when I began shooting and must've been there for a while because there was a flattened area that looked like a deer bed. Although deer do frequent the area, I sincerely doubt it was deer, because there was no scat, and deer scat alot in and around their beds, as well as it was a good 1/4 mi. from the nearest deer trail. I'm an experinced woodsman, and I have never run across a creature that was smart enough to lay down and stay put while bullets were flying over it's head...animals just don't have the reasoning it would take to exert that type of behavior. Like I said, I never saw it, I just heard it and heard it's foot falls, it was absolutely two legged, it was huge, and I don't think it wanted to say hello. Not sure what it wanted, but it was definately very intelligent. That was the only event of this nature during the time I lived there(6yrs.)...oh yeah, I don't remember smelling it's body funk till after I had started shooting, maybe it wasn't close enough for me to smell it or I was just to scared, either way, I hope this info helps your investigation.","My place was on the left side of the road, there was only one trailor there at the time, and the feild I was in is across the treeline on the same side of the road as my house, north east of my home was the two fields, the one closest to the road was at the bottom of the hill, the creek snakes across the back of my yard and the area is definately thick brush. I have given you all the info I have, complete with a pic of the area.",Pulaski County,Illinois,Summer,Report 5742: Young man hears nighttime vocalizations and is followed in woods near Mounds.,37.1142,-89.1979,2004-11-27,5742,Class B,dn8e4k2jfk,48.29,40.41,32.53,41.17,0.82,1,0.53,0.0204,1,rain,1008.32,Rain until afternoon.,2,9.08,188,6.46,2004
"Note: the witness names have been changed for privacy. My name is Jim, and I've reported a vocalization experience which happened approximately 11 years ago in the same area. Regarding this following report, I'm submitting it on behalf of my nephew, who is the primary witness and who experienced the sighting. I've discussed this experience with him, and questioned him at length about his sighting.  I can confidently endorse this young man, knowing him to be intelligent and level headed, with no previous history of exaggeration or embellishment. He is 14 years old, a high school freshman, and has lived in this area since his birth.  However young, he has a substantial amount of hunting and wilderness experience, and he's familiar with the indeginous wildlife of the area.  He contacted me by phone on the evening of the 18th to discuss his deer kill, along with his unusual sighting of the morning.  I've followed up with him in person today, November 19, 2005, to reconfirm his account prior to posting the report to your organization.  His account follows; ""My name is [Jason].  In the early morning hours of the 18th of November, prior to dawn, I prepped my hunting gear and left my house. My deerstand is approximately 600 yards behind my parent's home.  Directly behind our house is a large open field, with an estimated 250 yards east to west, and 500 yards north to south.  The perimeter around this area is medium growth forest [e.g. Oak, Silver Maple, Elm, Sassafras]. I was walking back to my stand on the far edge of this field, along the edge of the forested tree line.  I had parked my ATV at the treeline and began to walk the rest of the way back, and was carrying a flashlight and 20 gauge Remmington Express shotgun. As I approached a turn in the treeline, I immediately saw something walking toward me, at a distance of about 45-50 feet.  I could only make out a dark silhouettte.  At first, I thought it was my uncle who was also hunting in the area behind my house, but quickly realized that it was NOT my uncle, for several reasons; 1) it had no orange hunting vest, 2) it was extremely large, and 3) as soon as I saw the creature, it evidently saw me and it turned quickly, then ran into the tree line (towards my treestand).  Again, it was extremely large. Unfortunately, it was too dark to visualize any specific features, but the silhouette seemed to be approximately 7-8 feet tall. It was definately walking on two legs, and it was entirely too fast to be my uncle. (My uncle is a coal-miner who has an ankle injury and cannot jog or run at this time.)  I didn't have any time to shine my flashlight on it, or pull up my shotgun to take aim. The entire sighting lasted approximately 10-15 seconds, possibly shorter.  I didn't notice any smell before or after the sighting, and didn't hear any sounds. The creature moved with unusual quiteness and stealth.  I also heard no foot-falls as it ran, but I realize that I may have been too shocked to notice sounds.  I then moved to my deerstand where I got up into the stand as fast as possible, then called my mother to let her know that I had made it to the stand and told her about the sighting.","8 miles south/southeast of Harrisburg, Illinois, 2 miles south of a small burg called Mitchellville, at the edge of the Shawnee National Forest.",Saline County,Illinois,Fall,Report 13070: Youth has pre-dawn encounter on the way to deer stand near Mitchellville,37.63,-88.55,2005-11-18,13070,Class B,dn9n0frfek,50.76,42.849999999999994,34.94,23.39,0.59,0.11,0.59,0,0,NA,NA,Mostly cloudy in the morning.,3,10,197,3.73,2005
"I have pictures of very large footprints outside our house when my brother was camping here. He said he heard something outside the tent and came inside.  We checked the next morning and found very large footprints right outside of the tent. The night before he thought he heard deer there, but these were no deer tracks.  We have deer here all the time. My daughter and I had heard a low growl a couple of nights before this.  The whistles that we heard earlier this month also sound like those that we heard on your website.",NA,Tazewell County,Illinois,Fall,Report 12836: Family hears vocalizations and finds footprints in their backyard east of Pekin,40.61,-89.585,2005-10-06,12836,Class B,dp0r12y4qh,51.54,46.75,41.96,38.48,0.66,0.35,0.11,1e-4,0.41,rain,1021.52,Overcast overnight.,5,10,317,6.72,2005
"It was in 2004. I told my husband at the time I saw sasquach (not sure if I am spelling it right). He laughed and said I was nuts, so I really never brought it up again until.... 2 days ago I saw on the news reported sighting of a bigfoot in Central IL. I did not come face to face with him thank God. I caught him running. I could see his backside big tall and hairy, very hairy.  I was at my home on the Fulton - McDonough County line.  We lived near Vermont Lake easy walking distance down a gravel road right off Elk Road. I was outside doing my chores feeding the horses. We lived near forests all around all sides (Vermont Lake as our backyard).  We lived atop a small hill slope with a gully running all around. I saw him come out of the woods to the west and run very fast through our pasture and back into the woods. I saw him jump the creek which seemed to me impossible, too far, but he did and ran up the hill back north and he was gone.  I have never seen him again.","Pastures and a lake to the south. Pastures and fields to the north. A road, field and a forest to the east. A forest to the west.",McDonough County,Illinois,Fall,Report 15007: Daylight sighting by resident near Vermont Lake,40.316,-90.459,2004-09-11,15007,Class A,9zptme3c8x,82.69,67.375,52.06,57.64,0.76,0,0.9,NA,NA,rain,NA,Clear throughout the day.,7,9.5,NA,0,2004
My wife and I went Franklin Creek area for hiking and we found a bigfoot track by the creek. Its about 2 miles from parking lot. We have to walk about 2 hours back to parking lot before dark and heavy rain on that night. Creek flooded and the footprint gone.,"Creek, lot of forest and hills. lot of kind of mushrooms, berries and plants.",Lee County,Illinois,Summer,Report 11121: Hikers find large footprint along Franklin Creek.,41.86395,-89.34285,2003-06-14,11121,Class B,dp2qnvne0t,80.67,68.955,57.24,58.62,0.69,0.24,0.51,0.0024,0.4,rain,1015.11,Mostly cloudy starting in the evening.,10,8.84,55,3.97,2003
"I had actually put most of the details out of my mind, until a friend asked me a few months back if I had ever had a sighting. It was October '04 between 9-9:30pm, heading south about 3/4 of the way to Springfield Il. after passing the interchange to go to Lincoln, not sure which county. There weren't many cars on the road. We were in the left lane, I was the passenger. At the very far edge of the high beams I saw what looked like one of those big black 50 gallon lawn bags sitting with a bunch of garbage right off the side of the road between where the pavement meets the grass. It looked like someone had dumped trash... I was wrong! Grant you this all took place in like 8-9 seconds. As we got closer I saw the garbage was fast food bags and the black garbage bag had arms and a head! When we were maybe 5-6 car lengths away it swung its arms out in front of it and shot straight up, taking a small step backwards. My friend and I both said 'what the hell is that?' As he slowed down a little. In the split seconds it was full on in the head lights standing I saw a medium build, not massive at all, but thick, hair was 4-6"" and flat black in color with just a little bluish silver reflection from the headlights and the face was a lighter shade than the hair like charcoal grey, I don't recall seeing breasts and the hair seemed thinner and shorter on its front. Facial features at that speed were impossible to make out, but its chin seemed to jut out from where the collar bone area would be on a human. My friend owned a Mitsubishi Montero at that time. It rode about as high as the smaller big pick up trucks do. I'm 6'4"" and I had to step up slightly to get into the seat, and as we passed it close up, in the windshield and out the drivers side window its waist was as high as the top of the hood, probably 4 1/2 feet, and the rest was at least that much. My friend asked me; ""Dude was that Bigfoot?!"" at the same second I yelled ""That was Bigfoot!."" Funny I have read countless books on the subject from the time I was in grade school, and let me tell you... All the information in the world beforehand does not prepare you for a sighting.","I could return to the area or close to it, but the only thing I can add was that it was on a stretch of I-55 where the northbound lanes were a little closer to our side.",Logan County,Illinois,Fall,Report 30203: Nighttime sighting by motorists along I-55 near Lincoln,40.14471,-89.41959,2004-10-30,30203,Class A,dp0kmhneus,64.09,51.82,39.55,46.69,0.62,0.25,0.58,0.0097,1,rain,1005.09,Breezy until afternoon and partly cloudy in the afternoon.,3,9.79,242,13.12,2004
"It happened like this. Myself and a friend were out on the edge of the woods. We had decided that we would build a blind for hunting squirrels. On the way in we spotted a dead tree. We both tried to push it over, even worked together, but couldn't so we went back to work. Awhile later we heard the tree start to crack then it was smashed to the ground. We didn't get a good look at it but what we saw I would estimate between 7 - 8 ft tall. There other things that have happened back there as well. I have been howled at and had rocks thrown at me.",If you would like info on location give me a call.,Madison County,Illinois,Summer,Report 10535: Two teens have daylight sighting near Alton.,38.92241,-90.16171,2004-07-08,10535,Class A,9yzvkmd5rz,85.55,79.675,73.8,69.59,0.82,0.58,0.73,0,0,NA,1012.27,Humid and mostly cloudy throughout the day.,8,9.96,132,2.03,2004
"I spoke with the witness by telephone. I visited the site and spoke personally with his parents in their home which is a couple of miles from the sighting location. Stan - Can you please explain what you saw? Mark - It was my junior year of high school, so 2005, probably November. I was driving home on the back roads to the house. I saw a big black head sticking out the top at the corner of the corn field. And I stopped and saw this big black hairy thing. Then the head disappeared and a couple of seconds later it came walking across the road, and disappeared in the corn across the road. I took off then, I didn't even take time to turn and try and see it walking, I just kept going. Stan - How tall do you think it was? Mark - Eight feet to nine feet.tall. Stan - And what color was it? Mark - Dark, very dark brown. Stan - How was it built? Mark - Very muscular. Stan - How much would you think it weighed? Mark - Close to 300 lbs. Stan - Did it walk slowly or did it run across the road? Mark - It had a normal walking pace, it just walked across like nothing was bothering it. Stan - Did it look at you? Mark - It looked at me when I stopped, when it was sticking its head out of the corn. Stan - Were you able to see its face at all? Mark - No, I couldn't see the face.",Go south of I-72 1 1/2 miles on Illinois 267. Then east on Lake Jacksonville Rd.,Morgan County,Illinois,Fall,Report 28533: Daylight sighting by a motorist near Lake Jacksonville,39.6548,-90.18651,2005-11-19,28533,Class A,9zpcefbjyn,58.43,45.155,31.88,29.36,0.58,0,0.62,0,0,NA,1017.94,Clear throughout the day.,3,10,201,9.23,2005
"Around five years ago me and a buddy were mushroom hunting and came across about ten feet prints walking down a almost dried creek. The creek went from water to a muddy spot about 15'(?) long and then back to water. It looked like they walked out of the water into the mud making the prints then back into the water on the other side. The feet prints were from bare feet as the toe and heel impression were very reconizable. They were about the size of my size twelve shoe and had a longer leg stance then me (i'm about 5'10""). They went east straight down the creek/ditch heading towards the Embarrass River which is about 1/8 mile away from the prints. There shouldn't have been anyone walking barefoot down a creek down in the bottoms so that's what really got our attention. There are no houses within miles and there are no campgrounds or any reason anyone other then farmers or hunters to be down there and I just can't conceive any of them not wearing boots and not to mention walking down a creek with water in it. We were going to get pictures but didn't get to it in time because it ended up raining a few days later.",Longitude-87.97622 Lattitude-38.94564,Jasper County,Illinois,Spring,Report 10879: Mushroom hunters find series of large footprints near Ste. Marie.,38.94564,-87.97622,2000-05-06,10879,Class B,dncmw1cdv3,80.45,73.265,66.08,61.96,0.78,0.15,0.09,NA,NA,rain,1017.8,Breezy in the afternoon and light precipitation in the afternoon and overnight.,9,7.73,186,8.9,2000
"The first sighting was in late Sept to early October of 2003. I apologize for not remembering the date exactly. In the small town of Goodwine, IL on the west side. It was cool weather, clear skies, about 55 to 45 degrees F. The sun had just set and my kids and I had been collecting fire wood for a bonfire from the woods behind our property. I sent them and the dog inside to get ready for dinner. I went back to get a few more pieces of wood. I didn't have a flash light with me at the time and it was starting to get pretty hard to see so I went back to the house and as I walked down the road (which is a dead end road), I got within about 150, 200 feet of the house and that's when this big large dark thing appeared in front of me. It scarred me pretty good not because of its size but it was about 5 to 10 feet from me. It blocked the light from the house and the buildings across the street from our home. it quickly moved to the south into the grass and disappeared. This lasted a good 10 seconds. I then promptly made my way to the house. After a while I told the kids to stay inside and made my way to where it was. I couldn't see any thing nor did I find any sign of that there was any thing there. A few days later my wife said that she saw something out there in about the same location so I went out side and check things out I made my to edge of the property and didn't see anything but I did hear a sound like a hollow log or rail road ties being hit or dropped on each other in the distance. As I went towards the sound it got louder then went away. On my way back going down the same road in about the same place a dark figure looked like it was crouching in the tall grass along the road. I looked at it and continued to walk by it. It never moved nor did I hear any noise. The next morning I noted that the place that I saw this dark figure the night before the grass looked like a deer bed (matted down like when deer bed down in tall grass to sleep) and you could see where it pushed down the grass to leave. My wife told me that she had seen similar things out there in the same area and closer to the house after the two that I saw. Then after a few month of seeing nothing, it was a afternoon full sun and it was a mild day, my wife and I where siting at the kitchen table when a dark figure about 6 foot maybe shorter went down the drive towards the road. I at first thought that my eyes where playing tricks on me so I didn't say anything. Then my wife said did you see that? I replied the dark figure out in the drive. She said yeah. After that she saw another one close to the tree in the front yard by the drive at night with the flood lights on in about the same area where we saw the one in the day light. For note there is a wooded area right across from the house. I have never seen anything like this before nor did I believe that there was anything out there like this. I am a avid sportsmen and backpacker. I have hiked all over and never seen nor heard anything. I have also gone out at night and never came across anything like this.",West side of town.,Iroquois County,Illinois,Fall,Report 14404: Several sightings and strange occurences near a residence west of Goodwine,40.34057,-87.47077,2003-09-06,14404,Class A,dp1v3xc8z7,76.81,63.375,49.94,51.03,0.74,0,0.37,NA,NA,rain,1020.39,Clear throughout the day.,8,9.81,7,0.05,2003
